ZipCode,Price,Beds,Baths,LivingSpace,Address,City,State,ZipCodePopulation,ZipCodeDensity,County,MedianHouseholdIncome,Latitude,Longitude
80202,724900,1,2,1156,2001 LINCOLN ST UNIT 2623,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,989000,2,2,1600,1801 WYNKOOP ST APT 304,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,499900,1,1,862,1401 WEWATTA ST UNIT 812,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,2200000,3,4,3592,1020 15TH ST APT 42D,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,480000,1,1,670,1700 BASSETT ST UNIT 1407,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,849000,2,2,1447,2960 INCA ST UNIT 511,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,857956,2,2,1221,1700 BASSETT ST UNIT 912,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,599999,1,1,831,891 14TH ST UNIT 3807,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,319000,1,1,816,1020 15TH ST APT 18A,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,497000,1,1,906,1800 LAWRENCE ST APT 103,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,1050000,3,2,2402,2955 INCA ST UNIT 1H,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,335000,2,1,675,1750 WEWATTA ST UNIT 528,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,345000,1,1,797,1020 15TH ST APT 10A,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,599000,1,2,1320,1499 BLAKE ST APT 4G,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,1825000,2,3,1466,1901 WAZEE ST APT 504,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,350000,1,1,690,444 17TH ST APT 607,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,375000,2,2,986,1020 15TH ST APT 27E,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,675000,2,2,1142,2001 LINCOLN ST UNIT 1413,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,465000,2,1,1080,1777 LARIMER ST APT 801,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,439000,1,1,758,891 14TH ST UNIT 1905,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,817000,2,2,1594,1551 LARIMER ST APT 2402,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,975000,2,2,1742,1435 WAZEE ST APT 501,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80203,485000,2,2,1116,800 N WASHINGTON ST APT 1109,Denver,Colorado,20972,7410,Denver,89245,39.73142,-104.98274
80203,235000,1,1,464,336 N GRANT ST APT 210,Denver,Colorado,20972,7410,Denver,89245,39.73142,-104.98274
80203,609900,2,2,1341,975 N LINCOLN ST # 5F-N,Denver,Colorado,20972,7410,Denver,89245,39.73142,-104.98274
80203,395000,1,1,874,550 E 12TH AVE APT 1502,Denver,Colorado,20972,7410,Denver,89245,39.73142,-104.98274
80203,679000,2,1,1147,130 N PENNSYLVANIA ST,Denver,Colorado,20972,7410,Denver,89245,39.73142,-104.98274
80203,1175000,2,3,2037,400 E 3RD AVE APT 1003,Denver,Colorado,20972,7410,Denver,89245,39.73142,-104.98274
80203,405000,2,2,1054,801 N PENNSYLVANIA ST APT 501,Denver,Colorado,20972,7410,Denver,89245,39.73142,-104.98274
80203,315000,1,1,600,1975 N GRANT ST UNIT 221,Denver,Colorado,20972,7410,Denver,89245,39.73142,-104.98274
80203,345000,2,1,786,200 N PEARL ST APT 407,Denver,Colorado,20972,7410,Denver,89245,39.73142,-104.98274
80203,295000,1,1,689,625 N PENNSYLVANIA ST APT 610,Denver,Colorado,20972,7410,Denver,89245,39.73142,-104.98274
80203,860000,3,3,2170,975 N LINCOLN ST # 5C-N,Denver,Colorado,20972,7410,Denver,89245,39.73142,-104.98274
80203,340000,1,1,797,550 E 12TH AVE APT 1105,Denver,Colorado,20972,7410,Denver,89245,39.73142,-104.98274
80203,649900,1,2,1326,715 E 5TH AVE,Denver,Colorado,20972,7410,Denver,89245,39.73142,-104.98274
80203,395000,2,2,1059,700 N WASHINGTON ST APT 302,Denver,Colorado,20972,7410,Denver,89245,39.73142,-104.98274
80203,310000,1,1,794,523 E 12TH AVE APT 3,Denver,Colorado,20972,7410,Denver,89245,39.73142,-104.98274
80203,330000,2,1,713,250 N PEARL ST APT 310,Denver,Colorado,20972,7410,Denver,89245,39.73142,-104.98274
80203,975000,3,3,1975,400 E 3RD AVE APT 1002,Denver,Colorado,20972,7410,Denver,89245,39.73142,-104.98274
80203,275000,1,1,561,271 N GRANT ST APT 102,Denver,Colorado,20972,7410,Denver,89245,39.73142,-104.98274
80203,355000,1,1,937,800 N PEARL ST APT 303,Denver,Colorado,20972,7410,Denver,89245,39.73142,-104.98274
80203,1349900,5,3,2842,1742 N PEARL ST,Denver,Colorado,20972,7410,Denver,89245,39.73142,-104.98274
80203,565000,3,2,1416,615 E 7TH AVENUE PKWY APT 214,Denver,Colorado,20972,7410,Denver,89245,39.73142,-104.98274
80204,779000,3,4,1967,1335 ELATI ST UNIT 5,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,690000,2,2,1229,751 ELATI ST,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,1100000,3,4,2001,1652 UTICA ST,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,609000,4,4,1473,815 LOWELL BLVD,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,555000,2,2,1041,475 W 12TH AVE UNIT D,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,539900,2,2,1197,833 ELATI ST,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,599999,3,2,1425,1341 NEWTON ST,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,499000,2,2,1386,1340 MARIPOSA ST UNIT 100,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,370000,1,1,522,709 RALEIGH ST,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,550000,3,2,1158,4890 W 11TH AVE,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,395000,2,1,796,405 WOLFF ST,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,425000,1,1,813,1111 OSAGE ST UNIT 8,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,734900,4,3,1817,4605 W 10TH AVE,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,799000,4,4,2100,1324 ZENOBIA ST,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,385000,2,2,919,1301 SPEER BLVD APT 302,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,725000,3,4,1775,1333 ELATI ST UNIT 6,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,675000,2,2,2213,1469 QUITMAN ST,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,275000,1,1,637,1301 SPEER BLVD APT 204,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,1100000,5,4,2868,1704 LOWELL BLVD,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,349900,1,1,562,1208 QUITMAN ST # 304,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,489000,1,2,1008,300 W 11TH AVE UNIT 17E,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,4.00E+05,2,1,572,617 OSCEOLA ST,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,374500,2,2,873,601 W 11TH AVE APT 1008,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,699000,2,2,1207,629 ELATI ST,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,749900,4,3,1944,878 FOX ST,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,6.00E+05,2,2,966,1300 RALEIGH ST,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,850000,3,4,1988,3530 W 17TH AVE,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,899000,5,2,1894,3121 W 17TH AVE,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,750000,2,3,1426,1559 PERRY ST,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,725000,2,2,1492,1050 CHEROKEE ST APT 301,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,715000,4,2,1469,1334 XAVIER ST,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,930000,4,5,2280,1250 OSCEOLA ST # 1,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,224900,1,1,638,4625 W 6TH AVE APT 7,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,1600000,6,8,3914,1453 IRVING ST APT 1455,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,659000,2,3,1339,410 ACOMA ST UNIT 203,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,559900,2,2,958,1208 QUITMAN ST # 301,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,1050000,6,3,2788,1670 ZENOBIA ST,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,799000,3,4,1988,3536 W 17TH AVE,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,775000,2,4,1554,3139 W 19TH AVE,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,1225000,3,4,2198,1570 QUITMAN ST,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,1350000,6,5,3304,1678 VRAIN ST,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,764900,4,3,1817,4607 W 10TH AVE,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,899000,5,2,1894,3121 W 17TH AVE,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,8.00E+05,3,2,1264,1641 UTICA ST,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,410000,2,2,919,1301 SPEER BLVD APT 902,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,785000,2,2,1843,1100 CHEROKEE ST UNIT 701,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,279000,1,1,637,1301 SPEER BLVD APT 408,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,379000,2,2,919,1301 SPEER BLVD APT 410,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,680000,2,2,1347,1143 AURARIA PKWY UNIT 104,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80204,1950000,2,3,2034,4200 W 17TH AVE UNIT 808,Denver,Colorado,33853,2384.7,Denver,116029,39.73476,-105.0207
80205,515000,1,1,1154,2261 BLAKE ST APT 5A,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,1150000,5,4,3141,2131 N YORK ST,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,989000,3,4,2592,2945 CURTIS ST,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,699000,3,1,1620,2521 CHAMPA ST,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,550000,2,2,844,3331 N HIGH ST,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,1175000,4,3,2325,2537 CURTIS ST,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,540000,2,2,722,3329 N HIGH ST,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,475000,1,2,1124,2020 ARAPAHOE ST UNIT 1040,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,1150000,5,4,3039,2131 N YORK ST,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,280000,2,2,994,3706 N GAYLORD ST,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,580000,3,2,1014,2845 N SAINT PAUL ST,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,699000,2,2,1123,100 PARK AVE W PH 2106,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,785000,4,3,2330,2401 BRUCE RANDOLPH AVE,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,890000,3,3,1680,2230 N CLARKSON ST,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,575000,2,1,931,2352 GLENARM PL,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,575000,4,2,1872,3355 N JACKSON ST,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,599000,2,2,1176,3195 BLAKE ST APT 207,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,6.00E+05,3,2,1216,3608 N GARFIELD ST,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,425000,1,1,883,2020 ARAPAHOE ST UNIT 820,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,475000,2,2,1100,2999 LAWRENCE ST UNIT 202,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,440000,1,2,1006,2020 ARAPAHOE ST UNIT 870,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,320000,3,2,1370,3776 N GAYLORD ST,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,559999,3,2,1280,2544 N HIGH ST,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,539000,2,1,977,1316 29TH ST UNIT 301,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,415000,2,1,720,3258 N ELIZABETH ST,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,379900,2,1,631,1824 E 38TH AVE,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,820000,4,2,1844,2850 N MILWAUKEE ST,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,314173,3,2,1120,1082 27TH ST,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,899000,3,4,2098,2130 N GILPIN ST,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,645000,3,2,1582,2930 CALIFORNIA ST,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,369000,1,1,528,3627 N HIGH ST,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,525000,4,2,1747,3346 N MILWAUKEE ST,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,725000,4,2,837,3338 N STEELE ST,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,525000,2,2,1013,2020 ARAPAHOE ST UNIT 1250,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80205,6.00E+05,3,3,1500,3752 N HIGH ST,Denver,Colorado,33805,2809.7,Denver,113446,39.75891,-104.96353
80206,2200000,5,4,3209,642 GAYLORD ST,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,390000,1,1,855,1575 FILLMORE ST APT 8,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,525000,3,2,1528,1241 MONROE ST,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,2350000,4,4,3168,519 ADAMS ST,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,695000,2,1,1494,3805 E 12TH AVE,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,1950000,2,3,1496,155 STEELE ST APT 814,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,689000,3,3,1862,526 HARRISON ST,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,1575000,3,3,2658,1111 RACE ST # S,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,965000,3,2,2186,1254 SAINT PAUL ST,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,815000,3,2,2081,260 COLORADO BLVD,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,1725000,3,4,4036,117 JACKSON ST,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,5.00E+05,2,2,1200,1521 VINE ST APT 203,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,1250000,2,2,1427,1650 FILLMORE ST APT 1501,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,325000,1,1,925,1685 STEELE ST APT A,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,1475000,5,3,3350,630 COOK ST,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,730000,1,1,1131,1650 FILLMORE ST APT 1606,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,2598000,4,5,4850,888 YORK ST,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,399995,1,1,720,1200 VINE ST APT 5E,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,925000,3,2,1413,503 DETROIT ST,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,1200000,3,4,1883,458 JACKSON ST,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,519000,2,1,724,3412 E 11TH AVE,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,795000,2,2,1494,60 GARFIELD ST STE H,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,1.00E+06,3,4,1833,415 HARRISON ST,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,650000,2,1,1131,1650 FILLMORE ST APT 1206,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,254900,1,1,1141,2400 E 13TH AVE APT 1,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,249500,1,1,614,1285 JOSEPHINE ST APT 9,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,1750000,2,1,940,3801 E 4TH AVE,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,4250000,5,6,6057,2611 E 7TH AVENUE PKWY,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,1725000,2,2,1244,155 STEELE ST APT 313,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,565000,3,2,1528,1243 MONROE ST,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,214900,2,1,797,1100 COLORADO BLVD APT OO2,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,1300000,5,3,2689,760 ELIZABETH ST,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,1796000,3,4,4024,34 JACKSON ST,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,2350000,4,4,3168,521 ADAMS ST,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,549000,2,2,1016,1705 GAYLORD ST APT 204,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,3390000,4,5,4615,443 CLAYTON ST,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,315000,1,1,685,1245 COLUMBINE ST APT 205,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,699000,3,2,1606,1285 JACKSON ST,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,1595000,8,7,4048,2639 E 12TH AVE,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,2790000,4,4,3983,1930 E 8TH AVE,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,3600000,4,7,6800,555 CLAYTON ST,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,3400000,4,7,5047,234 MONROE ST,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,950000,4,3,2044,1115 MADISON ST,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,299000,2,1,777,1265 ELIZABETH ST APT 201,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,680000,2,2,1230,1776 RACE ST APT 105,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
80206,1995000,4,4,3102,822 RACE ST,Denver,Colorado,25046,3903.2,Denver,151873,39.73041,-104.95258
